T_ang,A_ang,E_ang,Out_ang,T_vel,A_vel,E_vel,P_vel,I_vel,D_vel,M1,M2,M3,M4
5,3.74,1.26,2.52,2.52,-0.67,3.2,0.32,98.78,0.1,150,199,199,150
5,3.74,1.26,2.52,2.52,-0.22,2.75,0.27,100.24,0,150,200,200,150
5,3.76,1.24,2.48,2.48,0.67,1.81,0.18,101.28,0,150,200,200,150
5,3.83,1.17,2.34,2.34,0.9,1.45,0.14,102.06,-0.04,150,201,201,150
5,3.95,1.05,2.09,2.09,1.01,1.08,0.11,102.64,0.01,150,201,201,150
10,4.02,5.98,11.97,11.97,-0.11,12.08,1.21,105.51,0.03,150,203,203,150
10,4.02,5.98,11.97,11.97,-0.22,12.19,1.22,111.63,0,150,206,206,150
10,4.11,5.89,11.77,11.77,0.9,10.88,1.09,117.12,0.03,150,209,209,150
10,4.21,5.79,11.59,11.59,0.67,10.92,1.09,122.53,0.05,150,211,211,150
10,4.25,5.75,11.51,11.51,0.45,11.06,1.11,128.09,-0.02,150,214,214,150
10,4.37,5.63,11.27,11.27,1.79,9.48,0.95,133.21,-0.02,150,217,217,150
10,4.58,5.42,10.83,10.83,2.46,8.37,0.84,137.69,-0.01,150,219,219,150
10,4.82,5.18,10.36,10.36,2.35,8.01,0.8,141.8,0,150,221,221,150
10,5.02,4.98,9.95,9.95,2.35,7.6,0.76,145.85,-0.08,150,223,223,150
10,5.19,4.81,9.61,9.61,2.01,7.6,0.76,149.76,0,150,225,225,150
10,5.46,4.54,9.08,9.08,2.8,6.28,0.63,153.21,-0.05,150,226,226,150
10,5.73,4.27,8.55,8.55,2.01,6.54,0.65,156.22,0.07,150,228,228,150
10,5.89,4.11,8.23,8.23,1.34,6.88,0.69,159.55,0,150,230,230,150
10,6.01,3.99,7.97,7.97,1.12,6.86,0.69,162.87,0.01,150,231,231,150
10,6.13,3.87,7.75,7.75,1.12,6.63,0.66,166.09,-0.02,150,233,233,150
10,6.28,3.72,7.44,7.44,1.68,5.76,0.58,169.02,0,150,234,234,150
10,6.43,3.57,7.15,7.15,1.23,5.91,0.59,171.97,0,150,236,236,150
10,6.6,3.4,6.81,6.81,2.46,4.35,0.43,174.65,-0.04,150,237,237,150
10,6.95,3.05,6.11,6.11,3.92,2.19,0.22,176.13,0.04,150,238,238,150
10,7.38,2.62,5.24,5.24,4.48,0.76,0.08,176.9,-0.03,150,238,238,150
10,7.85,2.15,4.3,4.3,3.36,0.94,0.09,177.02,0.1,150,238,238,150
10,8.02,1.98,3.96,3.96,-0.22,4.18,0.42,178.29,0.03,150,239,239,150
10,7.91,2.09,4.17,4.17,-1.23,5.4,0.54,180.89,-0.04,150,240,240,150
10,7.91,2.09,4.19,4.19,0.67,3.51,0.35,183.03,0,150,241,241,150
10,8.03,1.97,3.93,3.93,0.9,3.04,0.3,184.39,0.04,150,242,242,150
10,7.99,2.01,4.02,4.02,-0.22,4.24,0.42,188.56,-0.01,150,244,244,150
10,8.12,1.88,3.77,3.77,1.57,2.2,0.22,189.82,0.01,150,245,245,150
10,8.16,1.84,3.68,3.68,-1.01,4.69,0.47,191.48,0.09,150,246,246,150
10,8.12,1.88,3.77,3.77,-0.56,4.33,0.43,193.43,0.02,150,246,246,150
10,8.17,1.83,3.67,3.67,0.78,2.88,0.29,194.88,-0.12,150,247,247,150
10,8.21,1.79,3.58,3.58,-0.22,3.81,0.38,196.39,-0.03,150,248,248,150
10,8.17,1.83,3.65,3.65,0,3.65,0.37,198.29,-0.05,150,249,249,150
10,8.22,1.78,3.56,3.56,1.12,2.44,0.24,199.93,-0.1,150,250,250,150
10,8.29,1.71,3.42,3.42,-0.67,4.09,0.41,201.54,0.07,150,251,251,150
10,8.36,1.64,3.28,3.28,0.34,2.94,0.29,203.28,-0.02,150,251,251,150
10,8.5,1.5,3,3,0.67,2.33,0.23,204.56,0.04,150,252,252,150
10,8.58,1.42,2.84,2.84,-0.34,3.18,0.32,205.96,0.03,150,253,253,150
10,8.61,1.39,2.77,2.77,0.11,2.66,0.27,207.46,0.03,150,253,253,150
10,8.71,1.29,2.59,2.59,0,2.59,0.26,208.57,0.07,150,254,254,150
10,8.69,1.31,2.62,2.62,-0.78,3.4,0.34,209.99,0.02,150,255,255,150
10,8.65,1.35,2.7,2.7,0.56,2.14,0.21,211.26,-0.03,150,255,255,150
10,8.7,1.3,2.6,2.6,0.22,2.38,0.24,212.13,0.02,150,256,256,150
10,8.68,1.32,2.64,2.64,-0.67,3.32,0.33,213.45,0.02,150,256,256,150
10,8.67,1.33,2.66,2.66,0.11,2.55,0.25,214.87,0.01,150,257,257,150
10,8.72,1.28,2.56,2.56,1.01,1.55,0.16,215.96,-0.06,150,258,258,150
10,8.73,1.27,2.55,2.55,-0.11,2.66,0.27,216.96,0.07,150,258,258,150
10,8.69,1.31,2.62,2.62,0.9,1.72,0.17,218.14,-0.02,150,259,259,150
10,8.76,1.24,2.49,2.49,1.01,1.48,0.15,219,0.01,150,259,259,150
10,8.98,1.02,2.04,2.04,2.13,-0.08,-0.01,220.09,-0.08,150,260,260,150
15,9.26,5.74,11.48,11.48,3.36,8.12,0.81,223.92,-0.03,150,262,262,150
15,9.53,5.47,10.95,10.95,2.24,8.71,0.87,228.07,0,150,264,264,150
15,9.7,5.3,10.61,10.61,1.79,8.82,0.88,232.59,0.01,150,266,266,150
15,9.88,5.12,10.24,10.24,2.35,7.89,0.79,236.8,-0.01,150,268,268,150
15,10.24,4.76,9.52,9.52,5.04,4.49,0.45,239.83,-0.07,150,270,270,150
15,10.77,4.23,8.46,8.46,4.59,3.87,0.39,241.65,0.09,150,271,271,150
15,11.03,3.97,7.95,7.95,0.67,7.28,0.73,244.49,0.05,150,272,272,150
15,10.94,4.06,8.12,8.12,-1.23,9.35,0.93,248.91,0.02,150,274,274,150
15,10.92,4.08,8.16,8.16,1.01,7.15,0.72,253.08,-0.07,150,276,276,150
15,11.07,3.93,7.86,7.86,1.45,6.41,0.64,256.33,0.03,150,278,278,150
15,11.08,3.92,7.84,7.84,-0.45,8.28,0.83,260.13,-0.03,150,280,280,150
15,11.05,3.95,7.89,7.89,-0.11,8,0.8,264.26,0,150,282,282,150
15,11.14,3.86,7.71,7.71,1.01,6.7,0.67,267.86,0.03,150,284,284,150
15,11.29,3.71,7.43,7.43,1.23,6.2,0.62,271.02,0.06,150,285,285,150
15,11.41,3.59,7.19,7.19,0.67,6.52,0.65,274.17,0,150,287,287,150
15,11.4,3.6,7.2,7.2,-0.9,8.1,0.81,277.9,0,150,289,289,150
15,11.46,3.54,7.08,7.08,1.68,5.4,0.54,281.16,-0.06,150,290,290,150
15,11.64,3.36,6.73,6.73,1.34,5.38,0.54,283.74,-0.02,150,292,292,150
15,11.76,3.24,6.47,6.47,1.57,4.91,0.49,286.41,-0.02,150,293,293,150
15,11.97,3.03,6.05,6.05,2.57,3.48,0.35,288.46,-0.06,150,294,294,150
15,12.2,2.8,5.6,5.6,2.46,3.14,0.31,290.12,-0.04,150,295,295,150
15,12.41,2.59,5.18,5.18,2.91,2.27,0.23,291.49,-0.06,150,295,295,150
15,12.59,2.41,4.81,4.81,1.9,2.91,0.29,292.83,0.01,150,296,296,150
15,12.75,2.25,4.5,4.5,1.45,3.05,0.3,294.38,-0.04,150,297,297,150
15,12.87,2.13,4.25,4.25,0.34,3.91,0.39,296.01,0.08,150,298,298,150
15,12.92,2.08,4.15,4.15,0.11,4.04,0.4,297.93,0.06,150,299,299,150
15,13.02,1.98,3.95,3.95,1.23,2.72,0.27,299.7,-0.03,150,299,299,150
15,13.18,1.82,3.63,3.63,0.67,2.96,0.3,300.93,0.04,150,300,300,150
15,13.21,1.79,3.59,3.59,0.34,3.25,0.33,302.69,-0.07,150,301,301,150
15,13.24,1.76,3.52,3.52,0.78,2.73,0.27,304.27,-0.03,150,302,302,150
15,13.35,1.65,3.29,3.29,1.12,2.17,0.22,305.42,0,150,302,302,150
15,13.48,1.52,3.04,3.04,1.01,2.03,0.2,306.47,-0.02,150,303,303,150
15,13.67,1.33,2.66,2.66,1.45,1.2,0.12,307.14,0.03,150,303,303,150
15,13.79,1.21,2.42,2.42,0.34,2.08,0.21,307.98,-0.02,150,304,304,150
15,13.82,1.18,2.36,2.36,0.34,2.03,0.2,309.13,0,150,304,304,150
15,13.89,1.11,2.22,2.22,1.01,1.22,0.12,309.91,-0.08,150,304,304,150
15,13.97,1.03,2.05,2.05,1.57,0.49,0.05,310.52,-0.01,150,305,305,150
20,14.11,5.89,11.77,11.77,1.79,9.98,1,314.74,0,150,307,307,150
20,14.28,5.72,11.45,11.45,1.68,9.77,0.98,319.63,0.01,150,310,310,150
20,14.36,5.64,11.28,11.28,0.45,10.83,1.08,324.76,0.03,150,312,312,150
20,14.42,5.58,11.16,11.16,1.23,9.93,0.99,330.01,0,150,315,315,150
20,14.68,5.32,10.64,10.64,3.13,7.51,0.75,334.37,0,150,317,317,150
20,15.13,4.87,9.74,9.74,4.36,5.37,0.54,337.57,-0.1,150,319,319,150
20,15.54,4.46,8.92,8.92,3.36,5.56,0.56,340.34,-0.04,150,320,320,150
20,15.77,4.23,8.47,8.47,0.67,7.8,0.78,343.68,0.06,150,322,322,150
20,15.79,4.21,8.43,8.43,-0.78,9.21,0.92,348,0.05,150,324,324,150
20,15.81,4.19,8.37,8.37,1.45,6.92,0.69,352.06,-0.02,150,326,326,150
20,15.97,4.03,8.06,8.06,1.9,6.16,0.62,355.26,-0.06,150,327,327,150
20,16.15,3.85,7.71,7.71,1.68,6.03,0.6,358.34,0,150,329,329,150
20,16.34,3.66,7.33,7.33,1.12,6.21,0.62,361.48,-0.07,150,331,331,150
20,16.36,3.64,7.29,7.29,0.22,7.06,0.71,364.82,0.02,150,332,332,150
20,16.31,3.69,7.38,7.38,0.45,6.94,0.69,368.38,-0.03,150,334,334,150
20,16.41,3.59,7.17,7.17,1.79,5.38,0.54,371.18,0.01,150,335,335,150
20,16.61,3.39,6.77,6.77,2.01,4.76,0.48,373.7,-0.06,150,337,337,150
20,16.88,3.12,6.24,6.24,2.13,4.11,0.41,375.9,-0.04,150,338,338,150
20,17.19,2.81,5.63,5.63,2.69,2.94,0.29,377.65,-0.03,150,338,338,150
20,17.5,2.5,5,5,2.24,2.77,0.28,379.01,0.01,150,339,339,150
20,17.74,2.26,4.52,4.52,1.9,2.62,0.26,380.41,-0.02,150,340,340,150
20,17.97,2.03,4.07,4.07,1.79,2.28,0.23,381.62,0.03,150,340,340,150
20,18.26,1.74,3.49,3.49,2.46,1.02,0.1,382.22,0.03,150,341,341,150
20,18.46,1.54,3.07,3.07,1.12,1.95,0.2,382.96,0.06,150,341,341,150
20,18.58,1.42,2.83,2.83,0.67,2.16,0.22,383.89,0.08,150,342,342,150
20,18.69,1.31,2.62,2.62,1.12,1.5,0.15,384.76,0.01,150,342,342,150
20,18.79,1.21,2.42,2.42,0.56,1.86,0.19,385.53,0.08,150,342,342,150
20,18.82,1.18,2.36,2.36,-0.11,2.47,0.25,386.54,0,150,343,343,150
20,18.75,1.25,2.5,2.5,-0.9,3.4,0.34,388.01,0.02,150,344,344,150
20,18.69,1.31,2.63,2.63,-0.22,2.85,0.29,389.56,0.02,150,344,344,150
20,18.7,1.3,2.6,2.6,0.34,2.27,0.23,390.66,0.1,150,345,345,150
20,18.73,1.27,2.54,2.54,0.56,1.98,0.2,391.68,0.01,150,345,345,150
20,18.69,1.31,2.61,2.61,-0.45,3.06,0.31,393.06,0.07,150,346,346,150
20,18.64,1.36,2.73,2.73,0.34,2.39,0.24,394.53,-0.1,150,347,347,150
20,18.69,1.31,2.63,2.63,1.12,1.51,0.15,395.48,0.05,150,347,347,150
20,18.74,1.26,2.51,2.51,-0.34,2.85,0.28,396.41,0.02,150,348,348,150
20,18.67,1.33,2.67,2.67,-0.11,2.78,0.28,397.97,-0.05,150,349,349,150
20,18.69,1.31,2.61,2.61,1.01,1.61,0.16,399.12,0,150,349,349,150
20,18.77,1.23,2.46,2.46,0.67,1.78,0.18,399.87,0.05,150,350,350,150
20,18.81,1.19,2.39,2.39,0,2.39,0.24,400.78,0.08,150,350,350,150
20,18.75,1.25,2.5,2.5,-0.45,2.95,0.29,403.42,0,150,351,351,150
