3.55,-5.15,811,811,811,811
3.45,-5.37,809,809,809,809
3.45,-5.37,808,808,808,808
3.36,-4.48,807,807,807,807
3.36,-4.48,807,807,807,807
3.22,-6.27,807,807,807,807
3.22,-6.27,807,807,807,807
3.05,-9.29,808,808,808,808
3.05,-9.29,809,809,809,809
2.96,-8.95,810,810,810,810
2.78,-9.51,812,812,812,812
2.78,-9.51,814,814,814,814
2.58,-10.07,816,816,816,816
2.58,-10.07,819,819,819,819
2.38,-10.52,822,822,822,822
2.38,-10.52,825,825,825,825
2.28,-10.52,829,829,829,829
2.06,-10.74,833,833,833,833
2.06,-10.74,837,837,837,837
1.84,-10.52,841,841,841,841
1.84,-10.52,846,846,846,846
1.63,-9.40,850,850,850,850
1.63,-9.40,855,855,855,855
1.45,-8.73,860,860,860,860
1.45,-8.73,866,866,866,866
1.27,-8.84,871,871,871,871
1.27,-8.84,876,876,876,876
1.09,-8.06,882,882,882,882
1.09,-8.06,888,888,888,888
0.95,-6.94,893,893,893,893
0.95,-6.94,898,898,898,898
0.90,-4.70,903,903,903,903
0.81,-4.03,909,909,909,909
0.81,-4.03,914,914,914,914
0.77,-3.92,920,920,920,920
0.70,-2.13,925,925,925,925
0.70,-2.13,931,931,931,931
0.68,-1.01,936,936,936,936
0.68,-0.11,941,941,941,941
0.67,0.11,945,945,945,945
0.68,1.01,950,950,950,950
0.68,1.01,954,954,954,954
0.70,2.01,958,958,958,958
0.72,3.02,962,962,962,962
0.75,4.25,966,966,966,966
0.83,4.14,969,969,969,969
0.83,4.14,972,972,972,972
0.93,6.04,975,975,975,975
0.93,6.04,978,978,978,978
1.08,7.16,980,980,980,980
1.08,7.16,981,981,981,981
1.22,7.61,983,983,983,983
1.22,7.61,984,984,984,984
1.29,7.50,985,985,985,985
1.38,8.50,985,985,985,985
1.46,9.18,985,985,985,985
1.54,9.62,985,985,985,985
1.64,9.40,984,984,984,984
1.73,9.74,983,983,983,983
1.84,10.52,982,982,982,982
1.95,10.85,980,980,980,980
2.16,11.19,978,978,978,978
2.16,11.19,976,976,976,976
2.28,11.53,973,973,973,973
2.39,10.74,970,970,970,970
2.48,9.74,967,967,967,967
2.59,11.19,963,963,963,963
2.70,11.64,959,959,959,959
2.81,11.41,955,955,955,955
2.92,10.97,951,951,951,951
3.03,11.19,946,946,946,946
3.14,10.97,942,942,942,942
3.25,10.18,937,937,937,937
3.35,9.85,932,932,932,932
3.45,8.95,926,926,926,926
3.53,8.06,921,921,921,921
3.60,7.16,916,916,916,916
3.67,6.94,910,910,910,910
3.74,6.71,904,904,904,904
3.80,5.82,899,899,899,899
3.85,5.04,894,894,894,894
3.90,4.59,889,889,889,889
3.94,4.48,883,883,883,883
3.98,4.36,878,878,878,878
4.02,4.14,872,872,872,872
4.06,2.35,867,867,867,867
4.07,1.01,861,861,861,861
4.07,-0.34,856,856,856,856
4.07,-0.78,851,851,851,851
4.06,-1.23,847,847,847,847
4.04,-2.46,842,842,842,842
4.01,-3.80,838,838,838,838
3.96,-5.26,834,834,834,834
3.90,-6.60,830,830,830,830
3.83,-6.71,826,826,826,826
3.76,-6.94,823,823,823,823
3.68,-8.17,820,820,820,820
3.59,-9.62,817,817,817,817
3.48,-11.19,814,814,814,814
3.36,-11.41,812,812,812,812
3.26,-11.53,811,811,811,811
3.14,-11.41,809,809,809,809
3.02,-10.85,808,808,808,808
2.91,-11.41,807,807,807,807
2.79,-11.97,807,807,807,807
2.67,-12.09,807,807,807,807
2.54,-11.97,807,807,807,807
2.43,-12.09,808,808,808,808
2.30,-11.86,809,809,809,809
2.19,-11.41,810,810,810,810
2.07,-11.53,812,812,812,812
1.95,-12.20,814,814,814,814
1.82,-12.76,816,816,816,816
1.69,-13.76,819,819,819,819
1.54,-13.43,822,822,822,822
1.42,-12.65,825,825,825,825
1.29,-12.31,829,829,829,829
1.16,-12.09,833,833,833,833
1.05,-11.97,837,837,837,837
0.93,-11.64,841,841,841,841
0.81,-11.30,846,846,846,846
0.71,-10.07,850,850,850,850
0.60,-9.29,855,855,855,855
0.51,-9.06,860,860,860,860
0.43,-8.62,866,866,866,866
0.34,-8.06,871,871,871,871
0.26,-6.94,876,876,876,876
0.19,-5.48,882,882,882,882
0.15,-3.69,888,888,888,888
0.12,-2.13,893,893,893,893
0.10,-1.01,898,898,898,898
0.09,-0.45,903,903,903,903
0.09,0.34,909,909,909,909
0.10,0.90,914,914,914,914
0.12,2.35,920,920,920,920
0.14,3.36,925,925,925,925
0.18,5.04,931,931,931,931
0.24,5.93,936,936,936,936
0.30,6.27,941,941,941,941
0.36,6.04,945,945,945,945
0.42,6.15,950,950,950,950
0.48,6.60,954,954,954,954
0.55,8.06,958,958,958,958
0.64,8.84,962,962,962,962
0.72,9.85,966,966,966,966
0.82,9.85,969,969,969,969
0.93,10.63,972,972,972,972
1.03,10.97,975,975,975,975
1.14,11.19,978,978,978,978
1.27,11.86,980,980,980,980
1.38,11.75,981,981,981,981
1.50,12.09,983,983,983,983
1.62,12.53,984,984,984,984
1.75,12.98,985,985,985,985
1.88,13.20,985,985,985,985
2.02,14.21,985,985,985,985
