5.11,0.00,256,256,256,256
5.11,0.00,256,256,256,256
5.11,0.00,256,256,256,256
5.11,0.00,256,256,256,256
5.11,0.22,256,256,256,256
5.11,0.00,256,256,256,256
5.11,-0.11,256,256,256,256
5.11,0.11,256,256,256,256
5.11,0.22,256,256,256,256
5.12,0.22,256,256,256,256
5.12,-0.11,256,256,256,256
5.11,-0.22,256,256,256,256
5.11,0.22,256,256,256,256
5.11,0.11,256,256,256,256
5.11,-0.45,256,256,256,256
5.11,0.22,256,256,256,256
5.11,0.45,256,256,256,256
5.11,-0.90,256,256,256,256
5.11,0.67,256,256,256,256
5.11,0.00,256,256,256,256
5.11,0.11,256,256,256,256
5.11,-0.34,256,256,256,256
5.11,0.67,256,256,256,256
5.11,-0.34,256,256,256,256
5.11,-0.11,256,256,256,256
5.11,0.00,256,256,256,256
5.11,0.22,256,256,256,256
5.11,-0.45,256,256,256,256
5.11,0.00,256,256,256,256
5.11,0.22,256,256,256,256
5.11,0.00,256,256,256,256
5.11,-0.34,256,256,256,256
5.11,0.22,256,256,256,256
5.11,0.34,256,256,256,256
5.11,0.00,256,256,256,256
5.11,0.11,256,256,256,256
5.11,0.34,256,256,256,256
5.11,0.11,256,256,256,256
5.11,0.11,256,256,256,256
5.12,0.22,256,256,256,256
5.12,0.00,256,256,256,256
5.12,0.00,256,256,256,256
5.12,0.00,256,256,256,256
5.12,0.11,256,256,256,256
5.12,-0.34,256,256,256,256
5.12,-0.22,256,256,256,256
5.11,-0.22,256,256,256,256
5.11,-0.22,256,256,256,256
5.11,0.00,256,256,256,256
5.11,-0.11,256,256,256,256
5.11,-0.11,256,256,256,256
5.11,0.00,256,256,256,256
5.11,0.11,256,256,256,256
5.12,0.22,256,256,256,256
5.12,0.34,256,256,256,256
5.12,0.34,256,256,256,256
5.12,0.34,256,256,256,256
5.13,0.34,256,256,256,256
5.13,0.56,256,256,256,256
5.14,0.67,256,256,256,256
5.14,0.45,256,256,256,256
5.15,0.45,256,256,256,256
5.15,0.45,256,256,256,256
5.16,0.22,256,256,256,256
5.16,0.34,256,256,256,256
5.16,0.56,256,256,256,256
5.17,0.34,256,256,256,256
5.17,0.34,256,256,256,256
5.18,0.22,256,256,256,256
5.18,0.00,256,256,256,256
5.18,0.00,256,256,256,256
5.18,-0.45,256,256,256,256
5.18,0.34,256,256,256,256
5.17,-0.67,256,256,256,256
5.18,1.23,256,256,256,256
5.18,0.45,256,256,256,256
5.19,0.34,256,256,256,256
5.20,0.90,256,256,256,256
5.21,0.34,256,256,256,256
5.21,0.34,256,256,256,256
5.21,-0.34,256,256,256,256
5.21,-0.45,256,256,256,256
5.20,-0.45,256,256,256,256
5.20,-0.34,256,256,256,256
5.20,-0.11,256,256,256,256
5.20,0.56,256,256,256,256
5.21,1.01,256,256,256,256
5.22,0.67,256,256,256,256
5.22,0.45,256,256,256,256
5.23,0.00,256,256,256,256
5.22,-0.34,256,256,256,256
5.22,-0.67,256,256,256,256
5.21,-0.34,256,256,256,256
5.21,0.34,256,256,256,256
5.21,-0.34,256,256,256,256
5.21,0.00,256,256,256,256
5.22,0.11,256,256,256,256
5.22,-0.34,256,256,256,256
5.22,0.22,256,256,256,256
5.22,0.22,256,256,256,256
5.22,0.34,256,256,256,256
5.23,0.78,256,256,256,256
5.23,0.56,256,256,256,256
5.24,0.22,256,256,256,256
5.24,0.22,256,256,256,256
5.24,-0.11,256,256,256,256
5.24,0.11,256,256,256,256
5.24,-0.34,256,256,256,256
5.24,0.00,256,256,256,256
5.24,-0.11,256,256,256,256
5.24,0.00,256,256,256,256
5.24,0.34,256,256,256,256
5.24,0.22,256,256,256,256
